# 逐字稿 2026-04-22
# 來源音檔：錄製 (2).m4a

[00:00] 所有的AI模型都是這些預訓內的
[01:02:52] 我們能不能夠用各種
[01:02:54] CB的東西把它切割出來
[01:02:56] 文字跟圖形
[01:02:58] 然後很多時候
[01:03:00] 其實現在目前
[01:03:02] Default Division
[01:03:04] 各種模型
[01:03:06] 它可以把你切掉
[01:03:08] 把它去掉
[01:03:10] 這個東西你就可以把它
[01:03:12] 分隔開來
[01:03:14] 圖形的部分分圖形
[01:03:16] 文字的部分分成字
[01:03:18] 文字的部分你每一頁都會
[01:03:20] 有一次標
[01:03:22] 你能夠把它切割開來
[01:03:24] 很好
[01:03:26] 這件事情如果能夠做得很好
[01:03:28] 相信這個Github上去也是
[01:03:30] 得到非常多關注
[01:03:32] 我剛講的這個東西是這樣的
[01:03:34] 包括瀏覽器端的運用
[01:03:36] 包括這些相關的應用
[01:03:38] 包括這些實際的
[01:03:40] 你每天不知道現在
[01:03:42] 你們的狀況怎麼樣
[01:03:44] 但是你知道現在目前的一般公司
[01:03:46] 裡面現在用No Book LM
[01:03:48] 弄各種各樣的投影片的
[01:03:50] 這些相關的人有多少
[01:03:54] 他們實際來說他們本來要
[01:03:56] 自己做投影片
[01:03:58] 現在已經基本上很少看到
[01:04:00] 我手做投影片
[01:04:02] 現在都是
[01:04:04] 這樣的方式快速生產
[01:04:06] 這些生產
[01:04:08] 他們也會有更大的問題
[01:04:10] 他們也可以發展
[01:04:12] 或者是有更大的東西
[01:04:14] 問題是我們能夠實際解決
[01:04:16] 這些東西
[01:04:18] 對,這一點你知道嗎
[01:04:20] 我們叫AI服務器幫忙
[01:04:22] 我們是叫Agent幫忙
[01:04:24] 因為你知道我剛講
[01:04:26] 本來程式設計的能力
[01:04:28] 是一件困難的東西
[01:04:30] 現在已經是
[01:04:32] 本次
[01:04:34] 黃蟹堂前夜
[01:04:36] 飛入
[01:04:38] 巡邏百姓家
[01:04:40] 可是這個東西要怎麼樣
[01:04:42] 把這個優勢對大家發揮
[01:04:44] 這個方法
[01:04:46] 來講一下
[01:04:48] 今天大概差不多這樣吧
[01:04:50] 大家講講自己的想法
[01:04:52] 我覺得大家
[01:04:54] 包含一些寫成字
[01:04:56] 他們現在都還沒有意識到
[01:04:58] AI這個重點是
[01:05:00] 就像我講我主持
[01:05:02] 我新公司是做那種結案
[01:05:04] 就是結案的公司
[01:05:06] 就是非常
[01:05:08] 非常重要的
[01:05:10] 一個結案
[01:05:12] 一個結案的結案
[01:05:14] 一個結案的公司
[01:05:16] 就是本屆一些政府採購
[01:05:18] 或只是說一些大公司
[01:05:20] 包下來的一些
[01:05:22] 程式設計系統設計
[01:05:24] 我就看到最近
[01:05:26] 就在招人
[01:05:28] 現在我們公司不見得東西來說
[01:05:30] 完全不需要招人
[01:05:32] 都可以這樣大概
[01:05:34] 沒有
[01:05:36] 他們像是project base的公司
[01:05:38] 基本上招人
[01:05:40] 他project收500萬
[01:05:42] 他就要花個幾十萬
[01:05:44] 去做一個
[01:05:46] 工界或是tube
[01:05:50] 因為他們就是
[01:05:52] 全公司來說的話
[01:05:54] 其實這些都是老闆
[01:05:56] 等於說他還是起工程式
[01:05:58] 這些都是寫成字
[01:06:00] 我的想法是說
[01:06:02] 如果說這些東西包含業運都是老闆來做
[01:06:04] 你就請一個
[01:06:06] 最資深的
[01:06:08] 就可以
[01:06:10] 我自己的想法
[01:06:12] 我覺得基本上這個人
[01:06:14] 除非他自己做
[01:06:16] 他又不想自己做
[01:06:20] 因為我昨天就是我在他的comnet
[01:06:22] 我想說
[01:06:24] 那些東西你不用理性
[01:06:26] 我就叫他寫了
[01:06:28] 然後我不要理他
[01:06:30] 如果我無法的話
[01:06:32] 就好
[01:06:34] 基本上最近我看到了
[01:06:36] 所有的
[01:06:38] 我收到一些朋友
[01:06:40] 很大的一部分的情況都是這樣
[01:06:42] 他只要能夠把問題描述得非常清楚
[01:06:44] 那個寫過來的時刻就很快
[01:06:46] 但是
[01:06:48] 好像他們還在做
[01:06:50] 這事情真的是很難
[01:06:52] 也就AI沒錯
[01:06:54] 他們沒有知道Aj有變化
[01:06:56] 你講的這個問題很好
[01:06:58] 因為我覺得說這東西到底
[01:07:00] 變化得多快
[01:07:02] 我也不知道
[01:07:04] 確定經典開始
[01:07:06] 這我也不知道
[01:07:08] 大家都會
[01:07:10] 反正沒有起床
[01:07:12] 業務
[01:07:14] 因為
[01:07:16] 因為業務
[01:07:18] 因為你知道
[01:07:20] 很多時候像剛剛講的那些很多
[01:07:22] project based的公司
[01:07:24] 或是一些業務的公司
[01:07:26] 他其實很需要的是
[01:07:28] 那種關係
[01:07:30] 那些關係
[01:07:32] 是關係
[01:07:34] 那你家有很多
[01:07:36] 不是多種成本
[01:07:38] 這是業務的關係
[01:07:40] 他可能在花這些錢的時候
[01:07:42] 他優先的考量就是說
[01:07:44] 我們能夠得到史上的
[01:07:46] 那他的分配錢的時候
[01:07:48] 他如果有賺錢
[01:07:50] 那倒無所謂
[01:07:52] 就是一家賣衣服的公司
[01:07:54] 那他如果
[01:07:56] 賺什麼
[01:07:58] 那他會給這些資訊相關法界
[01:08:00] 會預留這塊的錢
[01:08:02] 那你會覺得
[01:08:04] 那些東西怎麼樣
[01:08:06] 不重要
[01:08:08] 他不希望這一塊
[01:08:10] 變成是他的生意的
[01:08:12] 一個問題
[01:08:14] 那他該花多少錢不花多少錢
[01:08:16] 我再推回去
[01:08:18] 像是證明給你200萬
[01:08:20] 一年的
[01:08:22] 預算
[01:08:24] 那你其實幾個
[01:08:26] 就不用再調
[01:08:28] 然後你也不用再去管
[01:08:30] 你現在講的這個問題
[01:08:32] 是現在政府
[01:08:34] 政府是別的預算
[01:08:36] 他沒有人
[01:08:38] 他就是要把這200萬花出去
[01:08:40] 那就是為什麼
[01:08:42] 如果你能夠找到這些東西
[01:08:44] 他就可以去承接這個
[01:08:46] 他反政府
[01:08:48] 說要叫他做這些相關的東西
[01:08:50] 他不會做
[01:08:52] 他就是如果有200萬我把200萬花出去就對了
[01:08:54] 我就是把200萬花出去就對了
[01:08:56] 然後200萬花出去之後
[01:08:58] 那就是其他公司
[01:09:00] 但是你會說
[01:09:02] 如果我們接接得到
[01:09:04] 我們講的東西也沒有
[01:09:06] 對啊你很多相關的訊息
[01:09:08] 很多沒有的
[01:09:10] 這200萬超級難賺
[01:09:12] 我自己賺過這個錢
[01:09:14] 我覺得超級難賺
[01:09:16] 因為你8萬塊時間其實怎麼行
[01:09:18] 我就跟你講好賺人家都撈走
[01:09:20] 輪到你
[01:09:22] 所以我是講說
[01:09:24] 這一塊其實你也不需要
[01:09:26] 你剛剛那麼多都做過一層
[01:09:28] 也不是只有這些大公司
[01:09:30] 他們是點子
[01:09:32] 台灣這方面的腳步是很慢
[01:09:34] 但是美國
[01:09:36] 這個方面的腳步是不快
[01:09:38] 所以你就會知道
[01:09:40] Meta不是在講嗎
[01:09:42] 要先查一波嘛
[01:09:44] 為什麼
[01:09:46] 不需要那麼多嘛
[01:09:48] 對不對
[01:09:50] 你如果沒有什麼相關的必要性
[01:09:52] 我幹嘛要花出去
[01:09:54] 對啊
[01:09:56] 可是台灣的話現在目前沒有這樣子的出息
[01:09:58] 對啊我現在公司有斷錢
[01:10:00] 講一件
[01:10:02] 我們現在股市也很好啊
[01:10:06] 那一定會
[01:10:08] 這個趨勢反轉的時候才會出現
[01:10:10] 問題才會啊
[01:10:12] 沒有什麼快門的
[01:10:14] 這也很難說啊
[01:10:16] 我覺得這一切也很難說
[01:10:18] 所以
[01:10:20] 跟那個 跟這個一樣
[01:10:22] 對 剛才也
[01:10:24] 沒有交易很好
[01:10:26] 我覺得沒有 我的問題是設計工程師
[01:10:28] 大概沒有
[01:10:30] 沒有什麼團結起來
[01:10:32] 做一個什麼樣子的發生
[01:10:34] 沒有 要到天全路
[01:10:36] 要到業務門市內去拜託
[01:10:38] 業務的話
[01:10:40] 現在目前 後來越來越多
[01:10:42] 就是說以前旅行社什麼
[01:10:44] 他們這些
[01:10:46] 機票網站什麼之類的
[01:10:48] 現在這些慢慢的都會被
[01:10:50] 就是那個鋼鐵
[01:10:52] 那些對話的模式去主宰
[01:10:54] 就是你知道網絡的朋友
[01:10:56] 他們現在訂機票
[01:10:58] 然後又直接Google的這個
[01:11:00] 網頁的介面問一問啊
[01:11:02] 那已經有那個了啊
[01:11:04] 電話客戶已經有很多不是真的
[01:11:06] 現在那個 比如說我訂飯店
[01:11:08] 訂餐廳 然後
[01:11:10] 或是出發電信 他全部都是機器人通話講話
[01:11:12] 你訂他因為現在機器人的對話
[01:11:14] 已經很料極了啊
[01:11:16] 對啊
[01:11:18] 你先問我一個問題
[01:11:20] 要不要講一下
[01:11:22] 好 我覺得 我想
[01:11:24] 想要講一個東西就是說
[01:11:26] 其實有想法的人
[01:11:28] 這些東西當然還是有
[01:11:30] 可是其實很多時候
[01:11:32] 很大的關鍵是你到底
[01:11:34] 有沒有進到關鍵的
[01:11:36] 你提出來的方法
[01:11:38] 會不會更痛
[01:11:40] 你提出來的方法是否
[01:11:42] 真實和性的去解決
[01:11:44] 那個痛 這才是一個痛
[01:11:46] 你在公司裡面
[01:11:48] 也是一樣啊 現在所有
[01:11:50] 這些公司所有東西你有沒有確實
[01:11:52] 的去掌握到你的
[01:11:54] 價值在哪
[01:11:56] 這很重要喔
[01:12:02] 我們今天談很多的東西
[01:12:04] 我覺得這些東西都是一些有趣的
[01:12:06] 議題 那這些議題都是要
[01:12:08] 讓大家去思考一下 比如說
[01:12:10] 好 我們現在都知道
[01:12:12] 其實我們這兩個裡面
[01:12:14] 其實還沒有上到什麼agent
[01:12:16] 但是agent這東西毫無疑問是一個
[01:12:18] 有趣的方向
[01:12:20] 那這個有趣的方向
[01:12:22] 我覺得會定在哪裡
[01:12:24] 其實我相信
[01:12:26] 我相信第一個突破點
[01:12:28] 會是在一般的
[01:12:30] 個人電腦上面
[01:12:32] 或是mac
[01:12:34] 最近mac的面目還出來了
[01:12:36] 那它其實有gpu也有cpu
[01:12:38] 那它在上面
[01:12:40] 可以裝一些
[01:12:42] 很中階或是中小型的
[01:12:44] 模型 然後它
[01:12:46] 配合
[01:12:48] 我不曉得要怎麼配合
[01:12:50] 但是我相信它你如果
[01:12:52] low-pro端的模型配合
[01:12:54] 所謂的這些先進的模型
[01:12:56] 然後能夠成為一些
[01:12:58] 你解決各種各樣問題的
[01:13:00] 一些助手的話
[01:13:02] 那我覺得這東西可能會是一個
[01:13:04] 每一家公司都會
[01:13:06] 派你去想說要去
[01:13:08] 辦好事情
[01:13:10] 不是你用
[01:13:12] 你一來問品就先問喔
[01:13:14] 你再去解決
[01:13:16] 然後再跟他講他
[01:13:18] 再想他有些想法
[01:13:20] 那樣子
[01:13:22] 這個東西現在目前我覺得
[01:13:24] 短時間之內
[01:13:26] 應該是一個重要的
[01:13:28] 發展局勢
[01:13:30] 當然這個模型會是這兩點
[01:13:32] 有一個
[01:13:34] 類似open cloud
[01:13:36] 的東西對不對
[01:13:38] 然後它能夠幫你解決
[01:13:40] 或是處理各種各樣你想要
[01:13:42] 解決的程式的這些相關的方向
[01:13:44] 然後你直接
[01:13:46] 跟他講你的需求
[01:13:48] 然後他就用 因為他現在目前
[01:13:50] 的設置大概都是會是某
[01:13:52] 部分的資源一台電腦或是
[01:13:54] 一個資料夾
[01:13:56] 那一個資料夾以後它可能會是一個
[01:13:58] 一個程式 然後這個程式就能
[01:14:00] 存取這個資料夾
[01:14:02] 那這個東西在可見的未來
[01:14:04] 應該會有各種各樣的
[01:14:06] 做法
[01:14:08] 但是到底哪一個
[01:14:10] 是最有用的
[01:14:12] 我相信有很多
[01:14:14] 對
[01:14:16] 但是你如果想說你如果做這個的話
[01:14:18] 短時間之內
[01:14:20] 其實我覺得
[01:14:22] 方向夠大
[01:14:24] 比如說那個發展的景地
[01:14:26] 而且現在
[01:14:28] 就我所講現在各大公司他們都會把
[01:14:30] 這個東西列為他們的
[01:14:32] 優先
[01:14:36] 來
[01:14:40] 來 許嘉雲想一下
[01:14:42] 其他有沒有什麼想法
[01:14:44] 來
[01:14:46] 歡迎各位我自己在做
[01:14:48] 做這個 是 財務
[01:14:50] 資料夾
[01:14:52] 是喔
[01:14:54] 財務助納是
[01:14:56] 對
[01:14:58] 推入建議開銷然後
[01:15:00] 然後
[01:15:02] 快速直接入地圖
[01:15:04] 然後再搭配
[01:15:06] 723.0做的
[01:15:08] 然後到什麼
[01:15:10] 我覺得我絕交
[01:15:12] 對
[01:15:14] 開交這個步子怎麼樣
[01:15:16] 跟黃哥跟大衛哥怎麼講
[01:15:18] 最近不是
[01:15:20] 然後一定大家很多
[01:15:22] 人生超級像這樣
[01:15:24] 如果你有買股票
[01:15:26] 但是我跟你講這種東西是
[01:15:28] 很多時候是怎麼上就怎麼下來
[01:15:30] 所以這很多東西很難說的
[01:15:32] 特別注意一下
[01:15:34] 你說做這件事情
[01:15:36] 就很花時間 其他單位會
[01:15:38] 幫我看我花費跟問題
[01:15:40] 然後建議說
[01:15:42] 你應該注意你應該
[01:15:44] 會給我建議
[01:15:46] 那建議的意思
[01:15:48] 為什麼要讓你們問
[01:15:50] 就是說
[01:15:52] 他就會說我可能娛樂性化太高
[01:15:54] 然後他就會建議我說
[01:15:56] 娛樂性要不要去
[01:15:58] 貼個門檻
[01:16:00] 在城市方面
[01:16:02] 高於多少的時候
[01:16:04] 然後可能跳到玻璃去的時候
[01:16:06] 說你已經花費
[01:16:08] 這個已經花費多少金了
[01:16:10] 這我完全不理解
[01:16:12] 所以我就講他說
[01:16:14] 這個就是一個重要的問題
[01:16:16] 不是說以前我們的
[01:16:18] 概念是A跟B
[01:16:20] 不是用應用形式
[01:16:22] 那現在的東西是一個助
[01:16:26] 就是以前你要一個基障A
[01:16:28] 他會幫你拿幾個
[01:16:30] 你現在是把你
[01:16:32] 所有的相關的東西都丟進去
[01:16:34] 他就可以幫你
[01:16:36] 整理成Sale
[01:16:40] 所以這個東西會改變多少
[01:16:42] 我覺得可能
[01:16:44] 在不久的將來會
[01:16:46] 會有很多
[01:16:48] 不知道
[01:16:50] 但是相信在不久的將來
[01:16:52] 你會有一些相關的
[01:16:54] 這些東西
[01:16:56] 因為很多東西我們
[01:16:58] 本來是需要一個A來做的
[01:17:02] 比如說什麼
[01:17:04] 實在A
[01:17:06] 或是什麼相關的東西
[01:17:08] 但是你現在
[01:17:10] 很多時候都丟進去他們都會知道
[01:17:12] 說不定能夠
[01:17:14] 前後來
[01:17:16] 然後你只要一直切
[01:17:18] 再出現
[01:17:20] 我覺得
[01:17:22] 最主要的範界應該是想辦法
[01:17:24] 就是
[01:17:26] 換能夠把他照共
[01:17:28] 去把
[01:17:36] 怎麼算解釋你
[01:17:38] 現在沒有現在都很方便
[01:17:40] 現在其實你網頁
[01:17:42] 都有有一些Line
[01:17:44] 收到你的相片
[01:17:46] 那你就拍相機然後拍
[01:17:48] 然後你今天練的話
[01:17:50] 你可以把他看一下存
[01:17:52] 這個就很重要
[01:17:56] 來問一下
[01:17:58] 那個
[01:18:00] 這個
[01:18:02] 應該很重要吧
[01:18:04] 不要啦就是其實跟
[01:18:06] 這間公司有關
[01:18:08] 剛剛第一點請阿倫分享一下
[01:18:10] 我現在公司的一些
[01:18:12] 什麼技能
[01:18:14] 跟我的公司是比較偏
[01:18:16] 小型的新創公司
[01:18:18] 對那就是我們老闆
[01:18:20] 老闆手部廠使用DI
[01:18:22] 我們定期會說
[01:18:24] RT就是拉成大家開的
[01:18:26] 然後公司的員工
[01:18:28] 就是每個人都有發一個
[01:18:30] 就是Fed啦
[01:18:32] 以他們的偷拍率
[01:18:34] 是鼓勵大家開報在上一天要使用
[01:18:36] 然後還有Germanite
[01:18:38] 的pro的帳號
[01:18:40] 就是有提供工具給
[01:18:42] 那因為最近
[01:18:44] 公司的業務量也在上升
[01:18:46] 那照廣延的
[01:18:48] 經驗來說我們是
[01:18:50] 要破邊
[01:18:52] 但其實我們已經這樣沒有破邊
[01:18:54] 我們老闆是跟我們說
[01:18:56] 對因為我們現在有提供
[01:18:58] 這些AI工具給
[01:19:00] 那我希望你們大家就是把
[01:19:02] 你一個人成長為
[01:19:04] 三個人這樣子
[01:19:06] 就是讓自己
[01:19:08] 讓你一個人變成三個人這樣
[01:19:10] 然後又可以去應付這些的
[01:19:12] 那其實實際運作下來
[01:19:14] 對
[01:19:16] 其實就真的
[01:19:18] 就是現在的AI員包括
[01:19:20] 剛剛說的做Base
[01:19:22] 他基本上就是
[01:19:24] 讓所有的工程師
[01:19:26] 的能力幾乎在上一階
[01:19:28] 或兩階了
[01:19:30] 所以剛剛說一個人變成三個人
[01:19:32] 基本上就是
[01:19:34] 甚至還有很多
[01:19:36] 這樣子
[01:19:38] 所以我在想可能在這樣發展
[01:19:40] 一個人變成六個人的
[01:19:42] 那到時候
[01:19:44] 誰要去哪
[01:19:46] 沒有你具備了
[01:19:48] 相對的這樣的經驗
[01:19:50] 你還是會有很多你的價
[01:19:52] 現在其實我選擇
[01:19:54] 是那些沙發
[01:19:56] 他都不知道為什麼他
[01:19:58] 所有的工具東西
[01:20:00] 或者是說大家都用AI
[01:20:02] 為什麼就是用不好
[01:20:04] 對啊
[01:20:06] 對
[01:20:08] 對
[01:20:10] 因為我跟你講誰
[01:20:12] 會用
[01:20:14] 但是問題是用的好不好是一回事
[01:20:16] 真的能夠解決問題的才是好
[01:20:18] 不要
[01:20:20] 那這件事情其實我覺得沒有那麼容易
[01:20:28] 因為目前現在
[01:20:30] ROM的狀態都還很順
[01:20:32] 包括一些
[01:20:34] 堆積很久的
[01:20:36] 一些案件比如以前
[01:20:38] 以前沒有建立過一些
[01:20:40] 我之前包裝過
[01:20:42] 都在這一兩年
[01:20:44] 除非母親
[01:20:46] 那些血案都已經一個月
[01:20:48] 解決掉了
[01:20:50] 就是會覺得
[01:20:52] 效率好快
[01:20:54] 現在有這個工具我以前都沒做到
[01:20:56] 做考拿出來的時候
[01:20:58] 就做成
[01:21:00] 對然後就覺得
[01:21:02] 你們不是WIMO嗎
[01:21:04] 對啊
[01:21:06] 那WIMO最近成長
[01:21:08] 是在外嗎
[01:21:10] 我們公司有一些
[01:21:12] 就是老闆他有一些業務
[01:21:14] 主要是他們不想在台灣
[01:21:16] 他們都想要
[01:21:18] 對
[01:21:20] 然後還有一些其他的業務
[01:21:22] 但是就是有些是
[01:21:24] 還沒有談成的所以他們也沒有
[01:21:26] 就是也不希望說太清楚
[01:21:28] 但就都有在規劃
[01:21:30] 其實是這個東西
[01:21:32] 在各個國家都
[01:21:34] 東南亞跟香港都出去工作
[01:21:36] 所以他們是會有這樣
[01:21:38] 對
[01:21:40] 但這個部分就你說我們不要再去做
[01:21:42] 我們就是
[01:21:44] 系統上的一些規劃
[01:21:46] 跟設計這樣子
[01:21:48] 因為我就在想說最近WIMO在台灣
[01:21:50] 感覺起來好像也沒有變比較
[01:21:52] 透過啊
[01:21:54] 主要是因為我們桃園這邊
[01:21:56] 桃園沒有開放
[01:21:58] 因為跟
[01:22:00] 謝喜的車上有結合的戲
[01:22:02] 現在就有聲跟光
[01:22:04] 是
[01:22:06] 但是光陽的
[01:22:08] 老闆他們的新老闆
[01:22:10] 有點想要放棄電動車
[01:22:12] 這塊事情
[01:22:14] 因為我們是他們家電動車
[01:22:16] 最大的客戶
[01:22:18] 但他們有點想不太放棄
[01:22:20] 因為他們就打不贏
[01:22:22] 他們覺得他們做這塊危險
[01:22:24] 是
[01:22:26] 你說其實
[01:22:28] 那個什麼
[01:22:30] Go Share
[01:22:32] Google
[01:22:34] Go Share他們現在也是
[01:22:36] 目的同同
[01:22:38] 可是台灣
[01:22:40] 確實需要這塊
[01:22:42] 台灣需要這種
[01:22:44] 電動機車的那個
[01:22:46] 但是
[01:22:48] 現在就是
[01:22:50] 因為中國這方面就做得超便宜
[01:22:52] 對不對
[01:22:54] 電品車它可能就超多的
[01:22:56] 我也不知道
[01:22:58] 那現在你的公司萬一
[01:23:00] 那個光陽不做了
[01:23:02] 那怎麼辦
[01:23:04] Go Google
[01:23:06] 其實我們已經有下一步了
[01:23:08] 就是這半年
[01:23:10] 都是在搜索這些實現
[01:23:12] 但是公司是不希望我們
[01:23:14] Go Google 但其實差不多
[01:23:16] 下個月就會有新聞
[01:23:18] 我們可以下個月再發表
[01:23:20] 給他更高的
[01:23:22] 我們沒有要講
[01:23:24] 我們只是心中想講而已
[01:23:26] 我覺得Wi-mo這家東西
[01:23:28] 其實都蠻有趣的
[01:23:30] 而且腳步還蠻快的
[01:23:32] 我覺得
[01:23:34] 主要是上面的
[01:23:36] 老闆還有一些管理層
[01:23:38] 都還偏離進
[01:23:40] 老闆背什麼
[01:23:42] 老闆
[01:23:44] 老闆
[01:23:46] 其實是
[01:23:48] 過代
[01:23:50] 他是在國外留學
[01:23:52] 的部位
[01:23:54] 背後就是星空
[01:23:56] 星空主室
[01:23:58] 星空堂
[01:24:00] 主要是老闆他還有
[01:24:02] 幾個團隊
[01:24:04] 有他的一些聯合
[01:24:06] 比較厲害
[01:24:08] 不過我覺得
[01:24:10] 原本我們對Wi-mo
[01:24:12] 比較了解他
[01:24:14] 因為Go Share
[01:24:16] 他還是很大
[01:24:18] 比如說像我們一塊來講
[01:24:20] 很多時候在外面
[01:24:22] 找車子
[01:24:24] 然後再開Wi-mo
[01:24:26] 然後Wi-mo很多時候他也會
[01:24:28] 有更多的小問題
[01:24:30] 可是最近
[01:24:32] 比較沒有用
[01:24:34] 而且最近Wi-mo的車好像變新了
[01:24:36] 對啊就是
[01:24:38] 光陽的二代車
[01:24:40] 前年
[01:24:42] 剛玩電動車
[01:24:44] 之後的
[01:24:46] 只是
[01:24:48] 他們玩的就好像變新了
[01:24:50] 沒有他們我覺得他們整體
[01:24:52] 整體的策略態度
[01:24:54] 就是說其實
[01:24:56] 當然我覺得是
[01:24:58] 這樣就是說
[01:25:00] 他們
[01:25:02] 自己本來就一塊頂
[01:25:04] 那汽油車就是他們的市場
[01:25:06] 這個市場這麼大
[01:25:08] 那就是因為Go Go 羅羅出來
[01:25:10] 就馬上吃了很多
[01:25:12] 然後接下來他們就覺得體覺
[01:25:14] 但是他們想要完全複製那個
[01:25:16] 那一整套
[01:25:18] 其實我覺得主要關鍵點
[01:25:20] 你要複製整套
[01:25:22] 你必須要解決幾件事情
[01:25:24] 第一件事情是換電站
[01:25:26] 然後那個相關的錢
[01:25:28] 那這些都要錢投入很多
[01:25:30] 然後人家也不願意付
[01:25:32] 那每個月幾百塊錢給你
[01:25:34] 對啊
[01:25:36] 主要是光陽當初他就是
[01:25:38] 跟Go Go 羅羅用不同的電池器
[01:25:40] 他們數幾次
[01:25:42] 然後這部位就是
[01:25:44] 成為他們現在最大的依賴
[01:25:46] 因為換電站對他們來說是一個蠻重的成本
[01:25:48] 是啊
[01:25:50] 所以他們其實
[01:25:52] 最近他們都有一直在
[01:25:54] 提升月費
[01:25:56] 但問題是他們換電站又沒有相關
[01:25:58] 這樣的水素的建築
[01:26:00] 有點像一個問題
[01:26:04] 所以這個東西
[01:26:06] 有趣的點就是
[01:26:08] 其實搞不好你看像Wi-Fi
[01:26:10] 都估計搞不好對你自己的突破
[01:26:12] 因為你如果有一個東西
[01:26:14] 出來然後它能夠
[01:26:16] 然後它又能夠
[01:26:18] 譬如說假設Wi-Fi
[01:26:20] 能夠有一個一定的數量
[01:26:22] 那它就可以支撐
[01:26:24] 譬如說某一些品牌
[01:26:26] 或是一些的型號
[01:26:28] 什麼的啊
[01:26:30] 很好很有趣
[01:26:32] 所以其實你這樣講起來
[01:26:34] 我覺得Wi-Fi這個公司
[01:26:36] 他們的腳步很快
[01:26:38] 對啊
[01:26:40] 可能就是全部都用AI
[01:26:42] 都升級的都會出現
[01:26:44] 那你公司在哪
[01:26:46] 我們公司主要
[01:26:48] 我們是在南京福西米凱
[01:26:50] 那阿滴在哪
[01:26:52] 阿滴目前是
[01:26:54] 在加上班
[01:26:56] 阿滴也在加上班
[01:26:58] 所以你都在加上班
[01:27:00] 我基本上在加
[01:27:02] 這麼那個
[01:27:04] 真的
[01:27:06] 還可以啊
[01:27:08] 就少數的優點
[01:27:10] 可是你們我覺得
[01:27:12] 老闆本質也是
[01:27:14] 因為他們的概念
[01:27:16] 真的很先進
[01:27:18] 對我覺得可能
[01:27:20] 是因為是白年輕
[01:27:22] 就是管理成那些
[01:27:24] 也不太
[01:27:26] 想理我們下面的能幹
[01:27:28] 有看到成果
[01:27:30] 就是有解決問題就好了
[01:27:32] 你們阿滴不是也不少人
[01:27:34] 阿滴
[01:27:36] 對
[01:27:38] 也不會在目前就沒有
[01:27:40] 後面的人
[01:27:42] 可能之後有
[01:27:44] 就我知道了
[01:27:46] 我們的PM
[01:27:48] 這幾年
[01:27:50] 離職
[01:27:52] 兩三個了
[01:27:54] 我看上面也都沒有在
[01:27:56] 反正變成一個PM
[01:27:58] 現在市場的案子越差越多
[01:28:00] 不知道是AI讓這些
[01:28:02] PM升級的案子
[01:28:04] 還是老闆強制他們要升級
[01:28:06] 對
[01:28:08] 也有
[01:28:10] 不會這樣
[01:28:12] 我覺得老闆還有你
[01:28:14] 會覺得
[01:28:16] AI可以解決一些
[01:28:18] 我記得你講說你們公司有
[01:28:20] 第60個人
[01:28:22] 沒有啦阿滴的
[01:28:24] 部分就是
[01:28:26] 是軟體加
[01:28:28] 這樣加起來大概
[01:28:30] 40幾20
[01:28:32] 然後整個公司200個
[01:28:34] 整個公司談外企的話
[01:28:36] 有些
[01:28:38] 這樣才有
[01:28:40] 但是這些外企
[01:28:42] 有一天就是關人中
[01:28:44] 然後
[01:28:46] 早期的車
[01:28:48] 比較麻煩
[01:28:50] 一帶車是不能進關店
[01:28:52] 要公司是
[01:28:54] 要睡覺
[01:28:56] 那時候
[01:28:58] 那些
[01:29:00] 人力什麼都吃掉了
[01:29:02] 後來關人中或是帶車
[01:29:04] 最近外面
[01:29:06] 人力就大很多
[01:29:10] 其實你這樣講
[01:29:12] 會不會推破那個市場
[01:29:16] 最近銷售不外包
[01:29:18] 就是現在有
[01:29:20] 有手外包
[01:29:22] 但是外包
[01:29:24] 主要是外包有點太爛
[01:29:26] 好來
[01:29:28] 幫你講一下
[01:29:30] 最近就是設備比較多
[01:29:32] 沒有錯
[01:29:34] 最近台灣的各個
[01:29:36] 我都覺得
[01:29:38] 很例外
[01:29:40] 那個記憶體帳
[01:29:42] 各種各樣的東西帳
[01:29:44] 各種設備全部都要找
[01:29:46] 那些設備上更長
[01:29:48] 以前的
[01:29:50] 結緣
[01:29:52] 現在系列很大
[01:29:54] 以前的達倫大
[01:29:56] 以前的那些公司
[01:29:58] 最近都
[01:30:00] 業餘都超級高
[01:30:02] 各種各樣的
[01:30:04] 有問題的記憶體
[01:30:06] 他們可以把它包成另外一個
[01:30:08] 又可以賣掉
[01:30:10] CPU GPU現在也賣到
[01:30:12] 真的
[01:30:14] 那你們現在主要的設備
[01:30:16] 主要設備
[01:30:18] 都是封測
[01:30:20] 封測跟PCB
[01:30:22] 就是那種
[01:30:24] 背端機
[01:30:26] 就是記憶體
[01:30:28] 還有台版的PCB版
[01:30:30] 真的
[01:30:32] 他們因為這個
[01:30:34] 漲了很多
[01:30:36] 今天
[01:30:38] 700千
[01:30:40] 都已經700
[01:30:42] 700了
[01:30:44] 你看它的股價已經700了
[01:30:46] 真的
[01:30:48] 現在
[01:30:50] 700太高了
[01:30:52] 去年多少
[01:30:54] 去年大概
[01:30:56] 100輸了
[01:30:58] 所以我就說
[01:31:00] 現在真的是很多東西
[01:31:02] 很誇張
[01:31:04] 我早上看到
[01:31:06] 台達電拖2000多也差
[01:31:08] 台達電拖2000多我也是
[01:31:10] 你做聯發科
[01:31:12] 2000多我覺得還算OK
