# 逐字稿 2026-04-30
# 來源音檔：錄製 (4).m4a

[00:00] 再來就是說,票券的地方只有銷售單位
[01:01:06] 就是
[01:01:08] 他except哪些東西他是
[01:01:10] 另外的也不如
[01:01:12] 也可以啊是額外在哪裡都比較好
[01:01:14] 額外在都有因為這部分
[01:01:16] 所有的模塊我都做得很
[01:01:18] 很普通
[01:01:20] 你剛剛那個專案的部分
[01:01:22] 那個有想法是否進入
[01:01:24] 那商品區要這樣幹嘛
[01:01:26] 你可以啊
[01:01:28] 這樣的情況下就
[01:01:30] 你這個東西不去點你就是skip掉
[01:01:32] 對每次點的就skip
[01:01:36] OK
[01:01:38] OK
[01:01:56] OK
[01:01:58] OK
[01:02:00] OK
[01:02:02] OK
[01:02:04] OK
[01:02:06] OK
[01:02:08] OK
[01:02:10] OK
[01:02:12] OK
[01:02:14] OK
[01:02:16] OK
[01:02:18] OK
[01:02:20] OK
[01:02:22] OK
[01:02:24] OK
[01:02:26] OK
[01:02:28] OK
[01:02:30] OK
[01:02:32] OK
[01:02:34] OK
[01:02:36] OK
[01:02:38] OK
[01:02:40] OK
[01:02:42] OK
[01:02:44] OK
[01:02:46] OK
[01:02:48] OK
[01:02:50] OK
[01:02:52] OK
[01:02:54] OK
[01:02:56] OK
[01:02:58] OK
[01:03:00] OK
[01:03:02] OK
[01:03:04] OK
[01:03:06] OK
[01:03:08] OK
[01:03:10] OK
[01:03:12] OK
[01:03:14] OK
[01:03:16] OK
[01:03:18] OK
[01:03:20] OK
[01:03:22] OK
[01:03:24] OK
[01:03:26] OK
[01:03:28] OK
[01:03:30] OK
[01:03:32] OK
[01:03:34] OK
[01:03:36] OK
[01:03:38] OK
[01:03:40] OK
[01:03:42] OK
[01:03:44] OK
[01:03:46] OK
[01:03:48] OK
[01:03:50] OK
[01:03:52] OK
[01:03:54] OK
[01:03:56] OK
[01:03:58] OK
[01:04:00] OK
[01:04:02] OK
[01:04:04] OK
[01:04:06] OK
[01:04:08] OK
[01:04:10] OK
[01:04:12] OK
[01:04:14] OK
[01:04:16] OK
[01:04:18] OK
[01:04:20] OK
[01:04:22] OK
[01:04:24] OK
[01:04:26] OK
[01:04:28] OK
[01:04:30] OK
[01:04:32] OK
[01:04:34] OK
[01:04:36] OK
[01:04:38] OK
[01:04:40] OK
[01:04:42] OK
[01:04:44] OK
[01:04:46] OK
[01:04:48] OK
[01:04:50] OK
[01:04:52] OK
[01:04:54] OK
[01:04:56] OK
[01:04:58] OK
[01:05:00] OK
[01:05:02] OK
[01:05:04] OK
[01:05:06] OK
[01:05:08] OK
[01:05:10] OK
[01:05:12] OK
[01:05:14] OK
[01:05:16] OK
[01:05:18] OK
[01:05:20] OK
[01:05:22] OK
[01:05:24] OK
[01:05:26] OK
[01:05:28] OK
[01:05:30] OK
[01:05:32] OK
[01:05:34] OK
[01:05:36] OK
[01:05:38] OK
